PLAYER_NAME,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,JERSEY_NUMBER,POSITION,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,ROSTER_STATUS,PTS,REB,AST,STATS_TIMEFRAME,FROM_YEAR,TO_YEAR
Marcus Sasser,Detroit,Pistons,DET,25,G,74.0,195.0,Houston,USA,2023.0,1.0,25.0,1.0,6.6,1.2,2.3,Season,2023,2024
Tomas Satoransky,Washington,Wizards,WAS,31,G,79.0,210.0,FC Barcelona,Czech Republic,2012.0,2.0,32.0,0.0,6.9,2.9,4.1,Career,2016,2021
Kenny Satterfield,Denver,Nuggets,DEN,11,G,74.0,170.0,Cincinnati,USA,2001.0,2.0,53.0,0.0,4.3,1.3,2.3,Career,2001,2002
Frank Saul,Los Angeles,Lakers,LAL,10,G,74.0,185.0,Seton Hall,USA,1949.0,1.0,10.0,0.0,5.6,2.0,1.6,Career,1949,1954
Woody Sauldsberry,Golden State,Warriors,GSW,18,F,79.0,220.0,Texas Southern,USA,1957.0,2.0,60.0,0.0,10.7,7.8,1.1,Career,1957,1965
Fred Saunders,Boston,Celtics,BOS,12,F,79.0,210.0,Syracuse,USA,1974.0,2.0,31.0,0.0,5.3,3.0,1.1,Career,1974,1977
Don Savage,Philadelphia,76ers,PHI,15,F,75.0,205.0,Le Moyne,USA,1951.0,2.0,14.0,0.0,3.2,1.8,0.8,Career,1951,1956
Predrag Savovic,Denver,Nuggets,DEN,4,G,78.0,225.0,Hawaii,Serbia,,,0.0,0.0,3.1,0.9,0.8,Career,2002,2002
Brian Scalabrine,Boston,Celtics,BOS,24,F,81.0,235.0,Southern California,USA,2001.0,2.0,34.0,0.0,3.1,2.0,0.8,Career,2001,2011
Alex Scales,San Antonio,Spurs,SAS,12,G,76.0,195.0,Oregon,USA,,,0.0,0.0,0.0,0.0,0.0,Career,2005,2005
Dewayne Scales,New York,Knicks,NYK,32,F,80.0,208.0,Louisiana State,USA,1980.0,2.0,36.0,0.0,4.6,2.9,0.2,Career,1980,1983
Frank Schade,Sacramento,Kings,SAC,15,G,73.0,170.0,Wisconsin-Eau Claire,USA,1972.0,2.0,53.0,0.0,1.1,0.7,1.1,Career,1972,1972
Herm Schaefer,Los Angeles,Lakers,LAL,10,G,72.0,175.0,Indiana,USA,,,0.0,0.0,7.6,0.0,3.2,Career,1948,1949
Bob Schafer,Atlanta,Hawks,ATL,27,G,75.0,195.0,Villanova,USA,1955.0,2.0,17.0,0.0,4.1,1.3,1.0,Career,1955,1955
Jordan Schakel,Washington,Wizards,WAS,20,G,78.0,200.0,San Diego State,USA,,,0.0,0.0,1.3,1.3,0.2,Career,2021,2022
Fred Schaus,Detroit,Pistons,DET,17,F,77.0,205.0,West Virginia,USA,1949.0,2.0,0.0,0.0,12.2,6.0,2.9,Career,1949,1953
Dan Schayes,Denver,Nuggets,DEN,24,C,83.0,260.0,Syracuse,USA,1981.0,1.0,13.0,0.0,7.7,5.0,1.1,Career,1981,1998
Dolph Schayes,Philadelphia,76ers,PHI,4,F,80.0,195.0,New York University,USA,1948.0,1.0,4.0,0.0,18.5,12.1,3.1,Career,1949,1963
Ossie Schectman,New York,Knicks,NYK,6,G,72.0,175.0,Long Island-Brooklyn,USA,,,0.0,0.0,8.1,0.0,2.0,Career,1946,1946
Steve Scheffler,Oklahoma City,Thunder,OKC,55,C,81.0,250.0,Purdue,USA,1990.0,2.0,39.0,0.0,1.9,1.0,0.1,Career,1990,1996
Tom Scheffler,Portland,Trail Blazers,POR,50,C,83.0,240.0,Purdue,USA,1977.0,2.0,117.0,0.0,1.3,1.9,0.3,Career,1984,1984
Baylor Scheierman,Boston,Celtics,BOS,55,G,78.0,205.0,Creighton,USA,2024.0,1.0,30.0,1.0,3.6,2.1,1.1,Season,2024,2024
Dave Schellhase,Chicago,Bulls,CHI,8,G,75.0,205.0,Purdue,USA,1966.0,1.0,10.0,0.0,2.8,1.0,0.8,Career,1966,1967
Luke Schenscher,Chicago,Bulls,CHI,24,C,85.0,265.0,Georgia Tech,USA,,,0.0,0.0,1.8,1.7,0.3,Career,2005,2006
Herb Scherer,Atlanta,Hawks,ATL,22,C,81.0,212.0,Long Island-Brooklyn,USA,1950.0,2.0,0.0,0.0,3.6,2.4,0.7,Career,1950,1951
Dwayne Schintzius,Brooklyn,Nets,BKN,55,C,86.0,285.0,Florida,USA,1990.0,1.0,24.0,0.0,2.7,2.5,0.4,Career,1990,1998
Dale Schlueter,Portland,Trail Blazers,POR,54,C,82.0,225.0,Colorado State,USA,1967.0,2.0,63.0,0.0,5.3,5.2,1.6,Career,1968,1977
Dick Schnittker,Los Angeles,Lakers,LAL,15,F,77.0,200.0,Ohio State,USA,1950.0,1.0,4.0,0.0,8.3,3.8,1.3,Career,1950,1957
